"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Ilman lämpötila [°C]","Sademäärä [mm]"
"Helsinki Kumpula","2024","5","25","22:50","16.8","0"
"Helsinki Kumpula","2024","5","25","23:00","16.8","0"
"Helsinki Kumpula","2024","5","25","23:10","16.5","0"
"Helsinki Kumpula","2024","5","25","23:20","16.6","0"
"Helsinki Kumpula","2024","5","25","23:30","17.6","0"
"Helsinki Kumpula","2024","5","25","23:40","17","0"
"Helsinki Kumpula","2024","5","25","23:50","16.7","0"
"Helsinki Kumpula","2024","5","26","00:00","17.2","0"
"Helsinki Kumpula","2024","5","26","00:10","16.9","0"
"Helsinki Kumpula","2024","5","26","00:20","17.1","0"
"Helsinki Kumpula","2024","5","26","00:30","16.8","0"
"Helsinki Kumpula","2024","5","26","00:40","16.4","0"
"Helsinki Kumpula","2024","5","26","00:50","16.1","0"
"Helsinki Kumpula","2024","5","26","01:00","15.9","0"
"Helsinki Kumpula","2024","5","26","01:10","16.1","0"
"Helsinki Kumpula","2024","5","26","01:20","15.8","0"
"Helsinki Kumpula","2024","5","26","01:30","15.8","0"
"Helsinki Kumpula","2024","5","26","01:40","16","0"
"Helsinki Kumpula","2024","5","26","01:50","16.4","0"
"Helsinki Kumpula","2024","5","26","02:00","16.1","0"
"Helsinki Kumpula","2024","5","26","02:10","15.5","0"
"Helsinki Kumpula","2024","5","26","02:20","16.1","0"
"Helsinki Kumpula","2024","5","26","02:30","15.6","0"
"Helsinki Kumpula","2024","5","26","02:40","15.3","0"
"Helsinki Kumpula","2024","5","26","02:50","15.1","0"
"Helsinki Kumpula","2024","5","26","03:00","15.1","0"
"Helsinki Kumpula","2024","5","26","03:10","15.1","0"
"Helsinki Kumpula","2024","5","26","03:20","15.3","0"
"Helsinki Kumpula","2024","5","26","03:30","15.6","0"
"Helsinki Kumpula","2024","5","26","03:40","15.3","0"
"Helsinki Kumpula","2024","5","26","03:50","15.4","0"
"Helsinki Kumpula","2024","5","26","04:00","15.4","0"
"Helsinki Kumpula","2024","5","26","04:10","15","0"
"Helsinki Kumpula","2024","5","26","04:20","15","0"
"Helsinki Kumpula","2024","5","26","04:30","15.6","0"
"Helsinki Kumpula","2024","5","26","04:40","15.9","0"
"Helsinki Kumpula","2024","5","26","04:50","15.4","0"
"Helsinki Kumpula","2024","5","26","05:00","15.2","0"
"Helsinki Kumpula","2024","5","26","05:10","16.1","0"
"Helsinki Kumpula","2024","5","26","05:20","15.8","0"
"Helsinki Kumpula","2024","5","26","05:30","15.7","0"
"Helsinki Kumpula","2024","5","26","05:40","16","0"
"Helsinki Kumpula","2024","5","26","05:50","15.9","0"
"Helsinki Kumpula","2024","5","26","06:00","15.9","0"
"Helsinki Kumpula","2024","5","26","06:10","16.2","0"
"Helsinki Kumpula","2024","5","26","06:20","16.4","0"
"Helsinki Kumpula","2024","5","26","06:30","16.5","0"
"Helsinki Kumpula","2024","5","26","06:40","16.6","0"
"Helsinki Kumpula","2024","5","26","06:50","16.7","0"
"Helsinki Kumpula","2024","5","26","07:00","16.9","0"
"Helsinki Kumpula","2024","5","26","07:10","17.1","0"
"Helsinki Kumpula","2024","5","26","07:20","17.3","0"
"Helsinki Kumpula","2024","5","26","07:30","17.8","0"
"Helsinki Kumpula","2024","5","26","07:40","18.3","0"
"Helsinki Kumpula","2024","5","26","07:50","18.7","0"
"Helsinki Kumpula","2024","5","26","08:00","18.7","0"
"Helsinki Kumpula","2024","5","26","08:10","19.5","0"
"Helsinki Kumpula","2024","5","26","08:20","19.8","0"
"Helsinki Kumpula","2024","5","26","08:30","20","0"
"Helsinki Kumpula","2024","5","26","08:40","19.7","0"
"Helsinki Kumpula","2024","5","26","08:50","20.7","0"
"Helsinki Kumpula","2024","5","26","09:00","20.5","0"
"Helsinki Kumpula","2024","5","26","09:10","20.8","0"
"Helsinki Kumpula","2024","5","26","09:20","20.7","0"
"Helsinki Kumpula","2024","5","26","09:30","21","0"
"Helsinki Kumpula","2024","5","26","09:40","21","0"
"Helsinki Kumpula","2024","5","26","09:50","21.7","0"
"Helsinki Kumpula","2024","5","26","10:00","22","0"
"Helsinki Kumpula","2024","5","26","10:10","22.4","0"
"Helsinki Kumpula","2024","5","26","10:20","22.4","0"
"Helsinki Kumpula","2024","5","26","10:30","22.4","0"
"Helsinki Kumpula","2024","5","26","10:40","22.4","0"
"Helsinki Kumpula","2024","5","26","10:50","22.5","0"
"Helsinki Kumpula","2024","5","26","11:00","22.6","0"
"Helsinki Kumpula","2024","5","26","11:10","22.9","0"
"Helsinki Kumpula","2024","5","26","11:20","22.9","0"
"Helsinki Kumpula","2024","5","26","11:30","22","0"
"Helsinki Kumpula","2024","5","26","11:40","22.2","0"
"Helsinki Kumpula","2024","5","26","11:50","22.1","0"
"Helsinki Kumpula","2024","5","26","12:00","21.2","0"
"Helsinki Kumpula","2024","5","26","12:10","21.2","0"
"Helsinki Kumpula","2024","5","26","12:20","21","0"
"Helsinki Kumpula","2024","5","26","12:30","21.3","0"
"Helsinki Kumpula","2024","5","26","12:40","22.2","0"
"Helsinki Kumpula","2024","5","26","12:50","21.3","0"
"Helsinki Kumpula","2024","5","26","13:00","22.5","0"
"Helsinki Kumpula","2024","5","26","13:10","22.3","0"
"Helsinki Kumpula","2024","5","26","13:20","22.1","0"
"Helsinki Kumpula","2024","5","26","13:30","21.7","0"
"Helsinki Kumpula","2024","5","26","13:40","22.4","0"
"Helsinki Kumpula","2024","5","26","13:50","22.7","0"
"Helsinki Kumpula","2024","5","26","14:00","22.6","0"
"Helsinki Kumpula","2024","5","26","14:10","23","0"
"Helsinki Kumpula","2024","5","26","14:20","22.9","0"
"Helsinki Kumpula","2024","5","26","14:30","23.3","0"
"Helsinki Kumpula","2024","5","26","14:40","23.3","0"
"Helsinki Kumpula","2024","5","26","14:50","22.9","0"
"Helsinki Kumpula","2024","5","26","15:00","23.1","0"
"Helsinki Kumpula","2024","5","26","15:10","22.2","0"
"Helsinki Kumpula","2024","5","26","15:20","22.7","0"
"Helsinki Kumpula","2024","5","26","15:30","21.6","0"
"Helsinki Kumpula","2024","5","26","15:40","22","0"
"Helsinki Kumpula","2024","5","26","15:50","21.9","0"
"Helsinki Kumpula","2024","5","26","16:00","21.5","0"
"Helsinki Kumpula","2024","5","26","16:10","21.5","0"
"Helsinki Kumpula","2024","5","26","16:20","21.3","0"
"Helsinki Kumpula","2024","5","26","16:30","21.8","0"
"Helsinki Kumpula","2024","5","26","16:40","21.9","0"
"Helsinki Kumpula","2024","5","26","16:50","21.5","0"
"Helsinki Kumpula","2024","5","26","17:00","21.4","0"
"Helsinki Kumpula","2024","5","26","17:10","21.1","0"
"Helsinki Kumpula","2024","5","26","17:20","21.4","0"
"Helsinki Kumpula","2024","5","26","17:30","21.3","0"
"Helsinki Kumpula","2024","5","26","17:40","20.8","0"
"Helsinki Kumpula","2024","5","26","17:50","20.9","0"
"Helsinki Kumpula","2024","5","26","18:00","20.4","0"
"Helsinki Kumpula","2024","5","26","18:10","20.5","0"
"Helsinki Kumpula","2024","5","26","18:20","20.7","0"
"Helsinki Kumpula","2024","5","26","18:30","20.4","0"
"Helsinki Kumpula","2024","5","26","18:40","20.2","0"
"Helsinki Kumpula","2024","5","26","18:50","20.3","0"
"Helsinki Kumpula","2024","5","26","19:00","20.1","0"
"Helsinki Kumpula","2024","5","26","19:10","20.4","0"
"Helsinki Kumpula","2024","5","26","19:20","19.9","0"
"Helsinki Kumpula","2024","5","26","19:30","19.8","0"
"Helsinki Kumpula","2024","5","26","19:40","20","0"
"Helsinki Kumpula","2024","5","26","19:50","20.1","0"
"Helsinki Kumpula","2024","5","26","20:00","19.8","0"
"Helsinki Kumpula","2024","5","26","20:10","19.9","0"
"Helsinki Kumpula","2024","5","26","20:20","19.8","0"
"Helsinki Kumpula","2024","5","26","20:30","19.6","0"
"Helsinki Kumpula","2024","5","26","20:40","19.3","0"
"Helsinki Kumpula","2024","5","26","20:50","19.1","0"
"Helsinki Kumpula","2024","5","26","21:00","19","0"
"Helsinki Kumpula","2024","5","26","21:10","19","0"
"Helsinki Kumpula","2024","5","26","21:20","18.8","0"
"Helsinki Kumpula","2024","5","26","21:30","18.8","0"
"Helsinki Kumpula","2024","5","26","21:40","18.5","0"
"Helsinki Kumpula","2024","5","26","21:50","18.6","0"
"Helsinki Kumpula","2024","5","26","22:00","18.4","0"
"Helsinki Kumpula","2024","5","26","22:10","18.3","0"
"Helsinki Kumpula","2024","5","26","22:20","18.2","0"
"Helsinki Kumpula","2024","5","26","22:30","18.1","0"
"Helsinki Kumpula","2024","5","26","22:40","17.8","0"
"Helsinki Kumpula","2024","5","26","22:50","17.7","0"
"Helsinki Kumpula","2024","5","26","23:00","17.5","0"
"Helsinki Kumpula","2024","5","26","23:10","17.4","0"
"Helsinki Kumpula","2024","5","26","23:20","17.5","0"
"Helsinki Kumpula","2024","5","26","23:30","17.5","0"
"Helsinki Kumpula","2024","5","26","23:40","17.5","0"
"Helsinki Kumpula","2024","5","26","23:50","17.7","0"
"Helsinki Kumpula","2024","5","27","00:00","17.4","0"
"Helsinki Kumpula","2024","5","27","00:10","17.5","0"
"Helsinki Kumpula","2024","5","27","00:20","17.4","0"
"Helsinki Kumpula","2024","5","27","00:30","17.3","0"
"Helsinki Kumpula","2024","5","27","00:40","17.2","0"
"Helsinki Kumpula","2024","5","27","00:50","17.1","0"
"Helsinki Kumpula","2024","5","27","01:00","17","0"
"Helsinki Kumpula","2024","5","27","01:10","17","0"
"Helsinki Kumpula","2024","5","27","01:20","17","0"
"Helsinki Kumpula","2024","5","27","01:30","17","0"
"Helsinki Kumpula","2024","5","27","01:40","16.8","0"
"Helsinki Kumpula","2024","5","27","01:50","16.7","0"
"Helsinki Kumpula","2024","5","27","02:00","16.7","0"
"Helsinki Kumpula","2024","5","27","02:10","16.7","0"
"Helsinki Kumpula","2024","5","27","02:20","16.7","0"
"Helsinki Kumpula","2024","5","27","02:30","16.8","0"
"Helsinki Kumpula","2024","5","27","02:40","16.7","0"
"Helsinki Kumpula","2024","5","27","02:50","16.5","0"
"Helsinki Kumpula","2024","5","27","03:00","16.4","0"
"Helsinki Kumpula","2024","5","27","03:10","16.3","0"
"Helsinki Kumpula","2024","5","27","03:20","16.1","0"
"Helsinki Kumpula","2024","5","27","03:30","15.8","0"
"Helsinki Kumpula","2024","5","27","03:40","15.8","0"
"Helsinki Kumpula","2024","5","27","03:50","15.6","0"
"Helsinki Kumpula","2024","5","27","04:00","15.5","0"
"Helsinki Kumpula","2024","5","27","04:10","15.4","0"
"Helsinki Kumpula","2024","5","27","04:20","15.3","0"
"Helsinki Kumpula","2024","5","27","04:30","15.3","0"
"Helsinki Kumpula","2024","5","27","04:40","15.2","0"
"Helsinki Kumpula","2024","5","27","04:50","15.2","0"
"Helsinki Kumpula","2024","5","27","05:00","15.2","0"
"Helsinki Kumpula","2024","5","27","05:10","15.3","0"
"Helsinki Kumpula","2024","5","27","05:20","15.3","0"
"Helsinki Kumpula","2024","5","27","05:30","15.4","0"
"Helsinki Kumpula","2024","5","27","05:40","15.5","0"
"Helsinki Kumpula","2024","5","27","05:50","15.8","0"
"Helsinki Kumpula","2024","5","27","06:00","16","0"
"Helsinki Kumpula","2024","5","27","06:10","16.4","0"
"Helsinki Kumpula","2024","5","27","06:20","16.8","0"
"Helsinki Kumpula","2024","5","27","06:30","17.1","0"
"Helsinki Kumpula","2024","5","27","06:40","17.3","0"
"Helsinki Kumpula","2024","5","27","06:50","17.6","0"
"Helsinki Kumpula","2024","5","27","07:00","17.5","0"
"Helsinki Kumpula","2024","5","27","07:10","17.9","0"
"Helsinki Kumpula","2024","5","27","07:20","17.9","0"
"Helsinki Kumpula","2024","5","27","07:30","18.4","0"
"Helsinki Kumpula","2024","5","27","07:40","18.6","0"
"Helsinki Kumpula","2024","5","27","07:50","18.9","0"
"Helsinki Kumpula","2024","5","27","08:00","18.6","0"
"Helsinki Kumpula","2024","5","27","08:10","18.8","0"
"Helsinki Kumpula","2024","5","27","08:20","19","0"
"Helsinki Kumpula","2024","5","27","08:30","18.7","0"
"Helsinki Kumpula","2024","5","27","08:40","19.5","0"
"Helsinki Kumpula","2024","5","27","08:50","19.7","0"
"Helsinki Kumpula","2024","5","27","09:00","19.6","0"
"Helsinki Kumpula","2024","5","27","09:10","19.5","0"
"Helsinki Kumpula","2024","5","27","09:20","20","0"
"Helsinki Kumpula","2024","5","27","09:30","20.2","0"
"Helsinki Kumpula","2024","5","27","09:40","20","0"
"Helsinki Kumpula","2024","5","27","09:50","20.8","0"
"Helsinki Kumpula","2024","5","27","10:00","21.1","0"
"Helsinki Kumpula","2024","5","27","10:10","21.2","0"
"Helsinki Kumpula","2024","5","27","10:20","21.3","0"
"Helsinki Kumpula","2024","5","27","10:30","21.4","0"
"Helsinki Kumpula","2024","5","27","10:40","21.7","0"
"Helsinki Kumpula","2024","5","27","10:50","21.5","0"
"Helsinki Kumpula","2024","5","27","11:00","22.2","0"
"Helsinki Kumpula","2024","5","27","11:10","22.4","0"
"Helsinki Kumpula","2024","5","27","11:20","22.4","0"
"Helsinki Kumpula","2024","5","27","11:30","22.5","0"
"Helsinki Kumpula","2024","5","27","11:40","23.3","0"
"Helsinki Kumpula","2024","5","27","11:50","23.3","0"
"Helsinki Kumpula","2024","5","27","12:00","23.1","0"
"Helsinki Kumpula","2024","5","27","12:10","23.5","0"
"Helsinki Kumpula","2024","5","27","12:20","23.6","0"
"Helsinki Kumpula","2024","5","27","12:30","23.5","0"
"Helsinki Kumpula","2024","5","27","12:40","22.8","0"
"Helsinki Kumpula","2024","5","27","12:50","23.2","0"
"Helsinki Kumpula","2024","5","27","13:00","23.9","0"
"Helsinki Kumpula","2024","5","27","13:10","24.5","0"
"Helsinki Kumpula","2024","5","27","13:20","24.2","0"
"Helsinki Kumpula","2024","5","27","13:30","23.9","0"
"Helsinki Kumpula","2024","5","27","13:40","24","0"
"Helsinki Kumpula","2024","5","27","13:50","24.1","0"
"Helsinki Kumpula","2024","5","27","14:00","23.4","0"
"Helsinki Kumpula","2024","5","27","14:10","23.3","0"
"Helsinki Kumpula","2024","5","27","14:20","23.7","0"
"Helsinki Kumpula","2024","5","27","14:30","23.6","0"
"Helsinki Kumpula","2024","5","27","14:40","24.4","0"
"Helsinki Kumpula","2024","5","27","14:50","24.1","0"
"Helsinki Kumpula","2024","5","27","15:00","24.7","0"
"Helsinki Kumpula","2024","5","27","15:10","25.1","0"
"Helsinki Kumpula","2024","5","27","15:20","24.4","0"
"Helsinki Kumpula","2024","5","27","15:30","24","0"
"Helsinki Kumpula","2024","5","27","15:40","24.5","0"
"Helsinki Kumpula","2024","5","27","15:50","22.9","0"
"Helsinki Kumpula","2024","5","27","16:00","22.6","0"
"Helsinki Kumpula","2024","5","27","16:10","22.6","0"
"Helsinki Kumpula","2024","5","27","16:20","22.9","0"
"Helsinki Kumpula","2024","5","27","16:30","23.1","0"
"Helsinki Kumpula","2024","5","27","16:40","22.7","0"
"Helsinki Kumpula","2024","5","27","16:50","21.8","0"
"Helsinki Kumpula","2024","5","27","17:00","22.7","0"
"Helsinki Kumpula","2024","5","27","17:10","21.9","0"
"Helsinki Kumpula","2024","5","27","17:20","22.2","0"
"Helsinki Kumpula","2024","5","27","17:30","21.4","0"
"Helsinki Kumpula","2024","5","27","17:40","21.8","0"
"Helsinki Kumpula","2024","5","27","17:50","23","0"
"Helsinki Kumpula","2024","5","27","18:00","23.9","0"
"Helsinki Kumpula","2024","5","27","18:10","24.4","0"
"Helsinki Kumpula","2024","5","27","18:20","23.6","0"
"Helsinki Kumpula","2024","5","27","18:30","23.2","0"
"Helsinki Kumpula","2024","5","27","18:40","23.4","0"
"Helsinki Kumpula","2024","5","27","18:50","23.5","0"
"Helsinki Kumpula","2024","5","27","19:00","23.3","0"
"Helsinki Kumpula","2024","5","27","19:10","23.1","0"
"Helsinki Kumpula","2024","5","27","19:20","23.5","0"
"Helsinki Kumpula","2024","5","27","19:30","23.6","0"
"Helsinki Kumpula","2024","5","27","19:40","24","0"
"Helsinki Kumpula","2024","5","27","19:50","24","0"
"Helsinki Kumpula","2024","5","27","20:00","24","0"
"Helsinki Kumpula","2024","5","27","20:10","23.6","0"
"Helsinki Kumpula","2024","5","27","20:20","22.9","0"
"Helsinki Kumpula","2024","5","27","20:30","22.7","0"
"Helsinki Kumpula","2024","5","27","20:40","22.5","0"
"Helsinki Kumpula","2024","5","27","20:50","22","0"
"Helsinki Kumpula","2024","5","27","21:00","21.7","0"
"Helsinki Kumpula","2024","5","27","21:10","21.4","0"
"Helsinki Kumpula","2024","5","27","21:20","21.1","0"
"Helsinki Kumpula","2024","5","27","21:30","20.6","0"
"Helsinki Kumpula","2024","5","27","21:40","20.2","0"
"Helsinki Kumpula","2024","5","27","21:50","20.1","0"
"Helsinki Kumpula","2024","5","27","22:00","20.1","0"
"Helsinki Kumpula","2024","5","27","22:10","19.9","0"
"Helsinki Kumpula","2024","5","27","22:20","19.9","0"
"Helsinki Kumpula","2024","5","27","22:30","19.7","0"
"Helsinki Kumpula","2024","5","27","22:40","19.2","0"
"Helsinki Kumpula","2024","5","27","22:50","19.3","0"
"Helsinki Kumpula","2024","5","27","23:00","19.3","0"
"Helsinki Kumpula","2024","5","27","23:10","19.3","0"
"Helsinki Kumpula","2024","5","27","23:20","19.1","0"
"Helsinki Kumpula","2024","5","27","23:30","18.6","0"
"Helsinki Kumpula","2024","5","27","23:40","18.3","0"
"Helsinki Kumpula","2024","5","27","23:50","18.1","0"
"Helsinki Kumpula","2024","5","28","00:00","18","0"
"Helsinki Kumpula","2024","5","28","00:10","17.5","0"
"Helsinki Kumpula","2024","5","28","00:20","17.2","0"
"Helsinki Kumpula","2024","5","28","00:30","17.4","0"
"Helsinki Kumpula","2024","5","28","00:40","17.3","0"
"Helsinki Kumpula","2024","5","28","00:50","16.6","0"
"Helsinki Kumpula","2024","5","28","01:00","16.4","0"
"Helsinki Kumpula","2024","5","28","01:10","17.1","0"
"Helsinki Kumpula","2024","5","28","01:20","17.3","0"
"Helsinki Kumpula","2024","5","28","01:30","16.5","0"
"Helsinki Kumpula","2024","5","28","01:40","16.2","0"
"Helsinki Kumpula","2024","5","28","01:50","16.4","0"
"Helsinki Kumpula","2024","5","28","02:00","16.5","0"
"Helsinki Kumpula","2024","5","28","02:10","16.4","0"
"Helsinki Kumpula","2024","5","28","02:20","15.7","0"
"Helsinki Kumpula","2024","5","28","02:30","15.7","0"
"Helsinki Kumpula","2024","5","28","02:40","16.2","0"
"Helsinki Kumpula","2024","5","28","02:50","16.1","0"
"Helsinki Kumpula","2024","5","28","03:00","15.6","0"
"Helsinki Kumpula","2024","5","28","03:10","15.4","0"
"Helsinki Kumpula","2024","5","28","03:20","15.7","0"
"Helsinki Kumpula","2024","5","28","03:30","16","0"
"Helsinki Kumpula","2024","5","28","03:40","16.3","0"
"Helsinki Kumpula","2024","5","28","03:50","15.1","0"
"Helsinki Kumpula","2024","5","28","04:00","15.8","0"
"Helsinki Kumpula","2024","5","28","04:10","16","0"
"Helsinki Kumpula","2024","5","28","04:20","16.3","0"
"Helsinki Kumpula","2024","5","28","04:30","16.3","0"
"Helsinki Kumpula","2024","5","28","04:40","16.4","0"
"Helsinki Kumpula","2024","5","28","04:50","16.5","0"
"Helsinki Kumpula","2024","5","28","05:00","16.5","0"
"Helsinki Kumpula","2024","5","28","05:10","16.4","0"
"Helsinki Kumpula","2024","5","28","05:20","16.5","0"
